"caso_id","intervencion_fecha_hora","victima_embarazo","victima_edad","victima_genero","victima_nacionalidad","victima_discapacidad","violencia_tipo","agresor_relacion_victima"
"417972","2019-08-12 09:00:00","NO","17","Masculino","Boliviana","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 09:00:00","NO","12","Masculino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 09:00:00","NO","9","Femenino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 02:45:00","NO","7","Femenino","Boliviana","NO","Económica y Física","Pareja de la madre/padre"
"417972","2019-08-12 09:00:00","NO","7","Femenino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"417972","2019-08-12 02:45:00","NO","9","Femenino","Argentina","NO","Económica y Física","Pareja de la madre/padre"
"418013","2019-08-12 16:30:00","NO","15","Femenino","Argentina","NS/NC","Física","Padre"
"417972","2019-08-12 09:00:00","NS/NC","37","Femenino","Boliviana","NO","Física","Espos@/compañer@ actual"
"417972","2019-08-12 02:45:00","NS/NC","37","Femenino","Boliviana","NO","Económica y Física","Espos@/compañer@ actual"
"418013","2019-08-12 16:30:00","NO","42","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"409220","2019-08-15 04:00:00","NO","1","Masculino","Argentina","NO","Física","Padre"
"417772","2019-08-15 15:00:00","NO","42","Femenino","Peruana","NO","Económica y Física","Ex espos@/pareja"
"417772","2019-08-15 15:00:00","NO","5","Femenino","Argentina","NO","Psicológica","Padre"
"417772","2019-08-15 15:00:00","NO","15","Femenino","Argentina","NO","Psicológica","Padre"
"417772","2019-08-15 15:00:00","NO","5","Femenino","Argentina","NO","Psicológica","Padre"
"417772","2019-08-15 15:00:00","NO","42","Femenino","Peruana","NO","Económica y Física","Ex espos@/pareja"
"417772","2019-08-15 15:00:00","NO","15","Femenino","Argentina","NO","Psicológica","Padre"
"409220","2019-08-15 04:00:00","NO","20","Femenino","Argentina","SI","Física","Espos@/compañer@ actual"
"409220","2019-08-16 09:00:00","NO","20","Femenino","Argentina","SI","Física","Espos@/compañer@ actual"
"418140","2019-08-17 21:30:00","NS/NC","21","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418138","2019-08-17 21:50:00","NO","46","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418159","2019-08-18 22:15:00","NO","45","Masculino","Argentina","NO","Psicológica","Ex espos@/pareja"
"418190","2019-08-20 21:30:00","NO","14","Femenino","Argentina","NO","Física","Padre"
"418200","2019-08-21 16:00:00","NO","69","Femenino","Paraguaya","NS/NC","Física","Otro conviviente"
"418200","2019-08-22 23:00:00","NO","69","Femenino","Paraguaya","NS/NC","Física","Otro conviviente"
"177597","2019-08-22 15:00:00","NO","7","Femenino","Argentina","NS/NC","Física","Padre"
"418200","2019-08-22 09:30:00","NO","69","Femenino","Paraguaya","NS/NC","Física","Otro conviviente"
"177597","2019-08-22 15:00:00","NO","8","Femenino","Argentina","NS/NC","Física","Padre"
"177597","2019-08-22 15:00:00","NS/NC","44","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"277641","2019-08-23 10:50:00","NO","42","Femenino","Boliviana","NO","Física","Ex espos@/pareja"
"277641","2019-08-23 10:50:00","NO","2","Femenino","Argentina","NO","Psicológica","Padre"
"418246","2019-08-24 08:15:00","NO","3","Masculino","Argentina","NS/NC","Psicológica","Padre"
"418246","2019-08-24 08:15:00","NO","20","Femenino","Paraguaya","NO","Física","Espos@/compañer@ actual"
"418264","2019-08-25 00:45:00","NO","0","Masculino","Argentina","NO","Psicológica","Padre"
